title,company,location,description,link
AI ML engineer,Tata Consultancy Services,"Chennai, Tamil Nadu","Dear Candidates, Greetings from TCS TCS is looking for GCP AI/ML applications Experience: 4-8 years Location: Chennai / Ahmedabad Date of interview: 11 April-2026 Mode of interview: Virtual Required technical skills: Compute Fundamentals: Demonstrates a deep understanding of compute concepts, including virtualization, containerization, operating systems, and system administration Cloud Technologies: Experience with cloud platforms like GCP, AWS, and Azure, including their AI/ML services. Genera…",https://www.adzuna.in/land/ad/5694089681?se=bt0V_s838RGKZ9TDM2Z5yg&utm_medium=api&utm_source=9296bc9e&v=20903000206708A14F6C093F4FAEA52D8790B843
AI/ML Engineer,Trantor,India,"4.5Years Experience Advanced Python Development (production-grade coding practices). REST API Development using Python. Async Programming & Scalable I/O Processing (asyncio, async patterns). Python Code Quality & Maintainability (Type Safety, Typing, Pydantic, Refactoring). AWS AI/ML Services (Amazon Bedrock, SageMaker, AWS AI tools). LLM Architecture & Optimization (context limits, latency, cost, hallucination handling). Agentic AI Workflows (tool-calling, orchestration, multi-step agent flows…",https://www.adzuna.in/land/ad/5674958475?se=bt0V_s838RGKZ9TDM2Z5yg&utm_medium=api&utm_source=9296bc9e&v=F33A906815D84AF8A658BA2C7CEFF5F4DF95E6F7
AI/ML Engineer,Axions,"West Bengal, India","Job Title: Sr. AI Engineer About the Role: We are looking for a skilled Sr. AI Engineer / Data Scientist with hands-on experience in OCR pipelines and Large Language Model (LLM) fine-tuning . The ideal candidate will work on developing, fine-tuning, and optimizing a vision-language model (VLM) to extract structured information from scanned documents. You will collaborate with data scientists and backend engineers to build an accurate, high-throughput, and production-ready AI pipeline. Key Respo…",https://www.adzuna.in/land/ad/5685320194?se=bt0V_s838RGKZ9TDM2Z5yg&utm_medium=api&utm_source=9296bc9e&v=4D30A28CC800D474EB537014F54568DE2B98F277
AI & ML Engineer,Blessing Softtech,India,"REQUIREMENTS: Highly motivated, well-read, and a prodigy. • Deep experience with LLM application development — prompt engineering, RAG pipelines, tool/ function calling, agent architectures • Hands-on experience with at least 2 of: OpenAI, Anthropic, Google Gemini, Groq, Mistral APIs • Strong understanding of embedding models, vector databases, and retrieval evaluation (precision, recall, MRR, NDCG) • Experience building evaluation frameworks for AI systems — not just accuracy metrics but conve…",https://www.adzuna.in/land/ad/5687247849?se=bt0V_s838RGKZ9TDM2Z5yg&utm_medium=api&utm_source=9296bc9e&v=D700B18C2D97554C4BA50C57E1B7B24F08DD2015
AI/ML Engineer,Coforge,"Noida, Ghaziabad","Jon Description: Data Scientist Experience: 6-8 yrs Location: Greater Noida MLOps/LLMOps Engineer with a strong background in continual learning, CI/CD, and cloud infrastructure , particularly on Azure, GCP, and AWS . The ideal candidate will have extensive hands-on experience in Python and ML libraries (Scikit-learn, TensorFlow, PyTorch), and a proven track record in deploying, monitoring, and optimizing machine learning and large language model pipelines. Core Responsibilities & Skills: 1. ML…",https://www.adzuna.in/land/ad/5697208837?se=bt0V_s838RGKZ9TDM2Z5yg&utm_medium=api&utm_source=9296bc9e&v=122C1240BEA0B2653FF10FFED237CF44E37D7481
AI/ML Engineer,Coforge,"Noida, Ghaziabad","About the job Jon Description: Data Scientist Experience: 6-8 yrs Location: Greater Noida MLOps/LLMOps Engineer with a strong background in continual learning, CI/CD, and cloud infrastructure , particularly on Azure, GCP, and AWS . The ideal candidate will have extensive hands-on experience in Python and ML libraries (Scikit-learn, TensorFlow, PyTorch), and a proven track record in deploying, monitoring, and optimizing machine learning and large language model pipelines. Core Responsibilities &…",https://www.adzuna.in/land/ad/5697208243?se=bt0V_s838RGKZ9TDM2Z5yg&utm_medium=api&utm_source=9296bc9e&v=79840E981C9D55A1F29E21AF24DFE5130DB61755
AI / ML Engineer,Confidential,"Bangalore, Karnataka","Looking for Senior Data Scientist / AI Tech Lead for a permanent role with one of our top MNC clients. Education from Tier 1 Institute is required (IITs, NITs, VIT) Experience in designing and deploying advanced AI/ML/GenAI solutions Proven track record of leading cross-functional teams to deliver transformative AI solutions Advanced NLP Model Development Design end-to-end AI applications Lead the design and implementations of reference architectures, roadmaps, and best practices for AI applica…",https://www.adzuna.in/land/ad/5646174156?se=bt0V_s838RGKZ9TDM2Z5yg&utm_medium=api&utm_source=9296bc9e&v=E4AB5B99D4A15BEEA109BCCFC90824CAAECEC1E8
AI/ML Engineer,LTM,India,"JD: AI/ML: Job Description: Python Developer & Machine Learning Engineer We are seeking an experienced Python Developer and Machine Learning Engineer with over 5 years of expertise in building and deploying AI-driven solutions to address complex business challenges. The ideal candidate will have hands-on experience with Generative AI, particularly using the Langchain / LangGraph framework, to automate business-critical processes and drive innovation. Key Responsibilities: Design, develop, and d…",https://www.adzuna.in/land/ad/5671628252?se=bt0V_s838RGKZ9TDM2Z5yg&utm_medium=api&utm_source=9296bc9e&v=023902492975B243AE3744AB985DAFEA0A566C91
AI ML Engineer,Spot Your Leaders & Consulting,"Hyderabad, Telangana","Location: Hyderabad/ Pune Experience Requirements: • 5 years of hands-on experience in machine learning, AI engineering, or data science, with a track record of successfully deploying models in production. • Extensive experience working with large datasets, building and fine-tuning ML models, and deploying on cloud platforms. • Demonstrated expertise in deep learning frameworks (e.g., TensorFlow, PyTorch) and familiarity with NLP and large language models. Preferred Technical Skills: • Proficie…",https://www.adzuna.in/land/ad/5688079645?se=bt0V_s838RGKZ9TDM2Z5yg&utm_medium=api&utm_source=9296bc9e&v=E6D9AFF3A7522C2F2C33E8A63820DDA8CF2C326E
Senior AI/ML Engineer,Adecco,"Bangalore, Karnataka","Greetings from Adecco We are currently hiring for the position of “Senior AI/ML Engineer” for a leading product-based company. Position: Senior AI/ML Engineer (Only Immediate Joiners) Location: Bangalore (HAL) Experience: 4 – 7 Years Job Type: Full Time (On Role) – Work from Office Shift: 9:30 AM to 6:30 PM (Saturday & Sunday Off) Job Responsibilities: • Design, develop, and deploy AI/ML systems using classical ML, deep learning, and generative AI • Build and integrate ML models with CRM/ERP sy…",https://www.adzuna.in/land/ad/5689758791?se=bt0V_s838RGKZ9TDM2Z5yg&utm_medium=api&utm_source=9296bc9e&v=9B936E94D6A9EC9CC94AC5222EC4A8B3676F43EC
